work_id,author_id
https://openalex.org/W2230728100,https://openalex.org/A5015070406
https://openalex.org/W2230728100,https://openalex.org/A5083898018
https://openalex.org/W2106787323,https://openalex.org/A5009198168
https://openalex.org/W2106787323,https://openalex.org/A5064215217
https://openalex.org/W2106787323,https://openalex.org/A5026176121
https://openalex.org/W2106787323,https://openalex.org/A5051830072
https://openalex.org/W2106787323,https://openalex.org/A5101396776
https://openalex.org/W2106787323,https://openalex.org/A5111768129
https://openalex.org/W2101108802,https://openalex.org/A5090187752
https://openalex.org/W2101108802,https://openalex.org/A5112012171
https://openalex.org/W2101108802,https://openalex.org/A5111758369
https://openalex.org/W2167279371,https://openalex.org/A5050085853
https://openalex.org/W2167279371,https://openalex.org/A5021284069
https://openalex.org/W2167279371,https://openalex.org/A5005279299
https://openalex.org/W2167279371,https://openalex.org/A5055757900
https://openalex.org/W2167279371,https://openalex.org/A5024201884
https://openalex.org/W2167279371,https://openalex.org/A5081122949
https://openalex.org/W2167279371,https://openalex.org/A5036369136
https://openalex.org/W2167279371,https://openalex.org/A5078540488
https://openalex.org/W2167279371,https://openalex.org/A5024381551
https://openalex.org/W2167279371,https://openalex.org/A5003321899
https://openalex.org/W2167279371,https://openalex.org/A5068316606
https://openalex.org/W2167279371,https://openalex.org/A5065589000
https://openalex.org/W2167279371,https://openalex.org/A5023873563
https://openalex.org/W2167279371,https://openalex.org/A5010413374
https://openalex.org/W2167279371,https://openalex.org/A5042671050
https://openalex.org/W2167279371,https://openalex.org/A5042603640
https://openalex.org/W2029667189,https://openalex.org/A5006129599
https://openalex.org/W2029667189,https://openalex.org/A5015421859
https://openalex.org/W2029667189,https://openalex.org/A5029996336
https://openalex.org/W2108234281,https://openalex.org/A5100338825
https://openalex.org/W2108234281,https://openalex.org/A5054867399
https://openalex.org/W2108234281,https://openalex.org/A5090190126
https://openalex.org/W2108234281,https://openalex.org/A5057927341
https://openalex.org/W2108234281,https://openalex.org/A5088950998
https://openalex.org/W2108234281,https://openalex.org/A5090073148
https://openalex.org/W2108234281,https://openalex.org/A5000369565
https://openalex.org/W2108234281,https://openalex.org/A5078559681
https://openalex.org/W2108234281,https://openalex.org/A5082040351
https://openalex.org/W2125435699,https://openalex.org/A5031195893
https://openalex.org/W2125435699,https://openalex.org/A5007606690
https://openalex.org/W2125435699,https://openalex.org/A5009420648
https://openalex.org/W2125435699,https://openalex.org/A5042962646
https://openalex.org/W4294215472,https://openalex.org/A5068353058
https://openalex.org/W4294215472,https://openalex.org/A5113499690
https://openalex.org/W4294215472,https://openalex.org/A5076572041
https://openalex.org/W4294215472,https://openalex.org/A5042962646
https://openalex.org/W2099540110,https://openalex.org/A5111881458
https://openalex.org/W2099540110,https://openalex.org/A5052725140
https://openalex.org/W2099540110,https://openalex.org/A5010413374
https://openalex.org/W1987258130,https://openalex.org/A5047556013
