topic_id,work_id
https://openalex.org/T10002,https://openalex.org/W2030976617
https://openalex.org/T10382,https://openalex.org/W2030976617
https://openalex.org/T10913,https://openalex.org/W2030976617
https://openalex.org/T12910,https://openalex.org/W2018289835
https://openalex.org/T11332,https://openalex.org/W2018289835
https://openalex.org/T11884,https://openalex.org/W2018289835
https://openalex.org/T10387,https://openalex.org/W2152311269
https://openalex.org/T11844,https://openalex.org/W2152311269
https://openalex.org/T10836,https://openalex.org/W2152311269
https://openalex.org/T10206,https://openalex.org/W2157823046
https://openalex.org/T11235,https://openalex.org/W2157823046
https://openalex.org/T11700,https://openalex.org/W2157823046
https://openalex.org/T10963,https://openalex.org/W2120062331
https://openalex.org/T14500,https://openalex.org/W2120062331
https://openalex.org/T10792,https://openalex.org/W2120062331
https://openalex.org/T10015,https://openalex.org/W2170551349
https://openalex.org/T11269,https://openalex.org/W2170551349
https://openalex.org/T10521,https://openalex.org/W2170551349
https://openalex.org/T10876,https://openalex.org/W2142635246
https://openalex.org/T12205,https://openalex.org/W2142635246
https://openalex.org/T10711,https://openalex.org/W2142635246
https://openalex.org/T10136,https://openalex.org/W1979300931
https://openalex.org/T10968,https://openalex.org/W1979300931
https://openalex.org/T10243,https://openalex.org/W1979300931
https://openalex.org/T10260,https://openalex.org/W2011039300
https://openalex.org/T10430,https://openalex.org/W2011039300
https://openalex.org/T14333,https://openalex.org/W2015795623
https://openalex.org/T14400,https://openalex.org/W2015795623
https://openalex.org/T11970,https://openalex.org/W4294216491
https://openalex.org/T11165,https://openalex.org/W2133665775
https://openalex.org/T11605,https://openalex.org/W2133665775
https://openalex.org/T11659,https://openalex.org/W2133665775
https://openalex.org/T11871,https://openalex.org/W2049633694
https://openalex.org/T11901,https://openalex.org/W2049633694
https://openalex.org/T10243,https://openalex.org/W2049633694
https://openalex.org/T12246,https://openalex.org/W2000445173
https://openalex.org/T11467,https://openalex.org/W2000445173
https://openalex.org/T11095,https://openalex.org/W2000445173
https://openalex.org/T10206,https://openalex.org/W2991792334
https://openalex.org/T11744,https://openalex.org/W2991792334
https://openalex.org/T10887,https://openalex.org/W2130410032
https://openalex.org/T11482,https://openalex.org/W2130410032
https://openalex.org/T10885,https://openalex.org/W2130410032
https://openalex.org/T10136,https://openalex.org/W2168175751
https://openalex.org/T10136,https://openalex.org/W2135046866
https://openalex.org/T11871,https://openalex.org/W2135046866
https://openalex.org/T10282,https://openalex.org/W2135046866
https://openalex.org/T10015,https://openalex.org/W2152207030
https://openalex.org/T11764,https://openalex.org/W2152207030
https://openalex.org/T10012,https://openalex.org/W2152207030
https://openalex.org/T10591,https://openalex.org/W2024060531
https://openalex.org/T10848,https://openalex.org/W2024060531
https://openalex.org/T11522,https://openalex.org/W2024060531
https://openalex.org/T10036,https://openalex.org/W2097117768
https://openalex.org/T10627,https://openalex.org/W2097117768
https://openalex.org/T11307,https://openalex.org/W2097117768
https://openalex.org/T10320,https://openalex.org/W2009435671
https://openalex.org/T14351,https://openalex.org/W2009435671
https://openalex.org/T11890,https://openalex.org/W2009435671
https://openalex.org/T10044,https://openalex.org/W2132629607
https://openalex.org/T11986,https://openalex.org/W2132629607
https://openalex.org/T11948,https://openalex.org/W2132629607
https://openalex.org/T10853,https://openalex.org/W2166281097
https://openalex.org/T11334,https://openalex.org/W2166281097
https://openalex.org/T11083,https://openalex.org/W2166281097
https://openalex.org/T10956,https://openalex.org/W2018858346
https://openalex.org/T10074,https://openalex.org/W2018858346
https://openalex.org/T10083,https://openalex.org/W2018858346
https://openalex.org/T10002,https://openalex.org/W2092157292
https://openalex.org/T10798,https://openalex.org/W2092157292
https://openalex.org/T12646,https://openalex.org/W2092157292
https://openalex.org/T10887,https://openalex.org/W2159675211
https://openalex.org/T10932,https://openalex.org/W2159675211
https://openalex.org/T10621,https://openalex.org/W2159675211
https://openalex.org/T10015,https://openalex.org/W2132926880
https://openalex.org/T10521,https://openalex.org/W2132926880
https://openalex.org/T10602,https://openalex.org/W2132926880
https://openalex.org/T14465,https://openalex.org/W3011865677
https://openalex.org/T11512,https://openalex.org/W2153635508
https://openalex.org/T10057,https://openalex.org/W2153635508
https://openalex.org/T10876,https://openalex.org/W2153635508
https://openalex.org/T11187,https://openalex.org/W2112090702
https://openalex.org/T11513,https://openalex.org/W2112090702
https://openalex.org/T10621,https://openalex.org/W2112090702
https://openalex.org/T13937,https://openalex.org/W2753533763
